-0.35443,3.7697e-15,1.8849e-15,-0,1,0.4866,0.32484,-0,-0,-0.20246,-0.34433,-0,-0,-0,-0,-0,-0,-0,0.35443,0.23663,-0.0067035,-358.86,-1.2867e-12,-1.6084e-13,-0,154.88,274.38,131.98,-0,-0,-12.665,-2.5825,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-119.62,-1.6084e-12,4.4232e-13,-0,51.626,77.153,38.629,-0,-0,-5.5433,-7.7474,-0,-0,-0,-0,-0,-0,-6.1357e-19,-1.4572e-18,-7.6696e-20,3.0678e-19,2.3967e-20,-0,431.71,191.67,-0,-0,-8.9846,3.0678e-19,-4.6017e-19,-6.9026e-19,-0,0,-4.136e-07,-3.1718e-07,4.6017e-19,4.6017e-19,1.1504e-19,1.1984e-21,-0,-0,-0,-6.1357e-19,-6.1357e-19,3.0678e-19,-0.94455,-1.2566e-15,1.9634e-17,0.04838,0.22677,0.15139,-0,-0,-0.28142,-0.0017216,-0.0194,-0,-0,-0,-0,-0,-0,-0.0028354,1.718e-17,2.9451e-17,-0,0.0017,0.0010633,0.00070989,-0,-0,-2.0246e-05,-3.4433e-05,-0,-0,-0,-0,-0,-0,154.12,545.99,-7.3022e-07
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
0.99984,6.7933e-14,-1.9409e-14,-0,2.8708e-05,0.00015338,6.8064e-05,-0,-0,0.34942,0.59445,-0,-0,-0,-0,-0,-0,-0,-0.99984,4.9722e-05,0.011569,1012.3,-1.9875e-11,-6.211e-12,-0,0.0044126,0.085842,0.027447,-0,-0,21.859,4.4584,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,337.45,-6.211e-12,-2.1738e-12,-0,0.0014709,0.024138,0.0080333,-0,-0,9.567,13.375,-0,-0,-0,-0,-0,-0,2.3693e-18,5.9233e-18,-2.3693e-18,4.1463e-18,3.702e-19,-0,-1217.9,0.040275,-0,-0,15.506,2.8432e-17,3.554e-18,2.6655e-18,-0,0,0,0,-3.554e-18,-3.554e-18,-5.9233e-19,9.2551e-20,-0,-0,-0,2.3693e-18,2.3693e-18,-4.0278e-17,2.6646,-1.2131e-13,-1.9713e-15,1.3889e-06,7.1482e-05,3.172e-05,-0,-0,0.4857,0.0029723,0.033479,-0,-0,-0,-0,-0,-0,0.0079987,-1.8954e-17,9.4772e-17,-0,4.8803e-08,-0.0029995,1.4917e-07,-0,-0,3.4942e-05,5.9445e-05,-0,-0,-0,-0,-0,-0,22.976,26.435,0
-8.4431e-05,-1.2363e-13,-5.0908e-14,-0,0,0.00011262,3.1458e-05,-0,-0,0.34941,0.59444,-0,-0,-0,-0,-0,-0,-0,8.4431e-05,-0.99997,0.011568,-0.085486,-3.7236e-12,-5.5854e-12,-0,0,0.063027,0.012684,-0,-0,21.858,4.4583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.028495,-2.9789e-11,3.7236e-12,-0,0,0.017723,0.0037123,-0,-0,9.5667,13.375,-0,-0,-0,-0,-0,-0,-3.5511e-18,8.8777e-19,-3.5511e-18,8.8777e-18,-7.768e-19,-0,0.10284,-809.98,-0,-0,15.506,-6.3919e-17,-1.9531e-17,-1.3317e-18,-0,0,0,0,-1.4204e-17,-1.4204e-17,-2.2194e-18,-8.3229e-20,-0,-0,-0,-0,-0,6.0368e-17,-0.00022501,-1.0182e-13,-3.1818e-15,0,5.2485e-05,1.466e-05,-0,-0,0.48568,0.0029722,0.033477,-0,-0,-0,-0,-0,-0,-6.7545e-07,-3.125e-16,-8.5226e-17,-0,0,2.5329e-07,-0.0029999,-0,-0,3.4941e-05,5.9444e-05,-0,-0,-0,-0,-0,-0,22.963,26.392,0
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
-0.00015222,1.8543e-15,-1.5453e-15,-0,6.834e-05,0.00021279,0.0001128,-0,-0,-1,1,-0,-0,-0,-0,-0,-0,-0,0.00015222,8.084e-05,0,-0.15412,-3.9559e-12,-2.3736e-13,-0,0.010493,0.11899,0.045454,-0,-0,-62.56,7.5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.051373,-0,-3.3626e-13,-0,0.0034978,0.03346,0.013304,-0,-0,-27.381,22.5,-0,-0,-0,-0,-0,-0,7.5454e-19,9.809e-19,-3.3954e-19,1.1318e-19,7.0738e-21,-0,0.18541,0.065481,-0,-0,-44.379,7.5454e-19,7.5454e-20,-0,-0,-2.0996e-10,-1.2711e-09,-5.0627e-10,7.5454e-20,7.5454e-20,5.659e-20,-2.3579e-21,-0,-0,-0,1.5091e-19,1.5091e-19,-1.5091e-19,-0.00040566,-0,-8.2094e-17,3.3063e-06,9.9165e-05,5.257e-05,-0,-0,-1.3901,0.005,0,-0,-0,-0,-0,-0,-0,-1.2177e-06,-6.0363e-18,-3.6218e-18,-0,1.1618e-07,4.5665e-07,2.4252e-07,-0,-0,-0.0001,0.0001,-0,-0,-0,-0,-0,-0,-4.8303,-54.885,-1.9874e-09
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
-0.73999,2.3576e-14,1.9646e-14,-0,0,1,-0.99998,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0.73999,-0.73866,0,-749.24,3.2189e-11,8.3824e-12,-0,0,564.05,-406.42,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-249.75,7.3766e-12,2.9339e-12,-0,0,158.61,-118.95,-0,-0,0,0,-0,-0,-0,-0,-0,-0,2.8779e-18,1.9186e-18,2.3982e-18,2.718e-18,6.9949e-20,-0,901.35,-598.32,-0,-0,0,1.2151e-17,3.1976e-19,1.7587e-18,-0,0,0,1.0474e-07,6.0755e-18,6.0755e-18,7.1947e-19,1.9985e-20,-0,-0,-0,4.4767e-18,4.4767e-18,8.3139e-18,-1.9721,4.7151e-14,3.8883e-16,0,0.46604,-0.46603,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0.0059199,7.6744e-17,9.9767e-17,-0,0,0.00222,-0.002216,-0,-0,0,0,-0,-0,-0,-0,-0,-0,39.672,157.65,1.0241e-07
0,-6.5991e-14,-7.5419e-14,-0,0,0,-0.99945,-0,-0,0.2551,0.43398,-0,-0,-0,-0,-0,-0,-0,0,-0.72937,0.0084488,0,-3.8614e-11,-9.6536e-12,-0,0,0,-406.21,-0,-0,15.958,3.2549,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-8.0447e-12,-4.6257e-12,-0,0,0,-118.89,-0,-0,6.9844,9.7646,-0,-0,-0,-0,-0,-0,-9.9736e-18,-1.5344e-18,-4.9868e-18,-3.4524e-18,-3.1167e-19,-0,0,-590.79,-0,-0,11.32,-2.455e-17,-2.2249e-17,-3.4524e-18,-0,0,0,5.7985e-08,-1.381e-17,-1.381e-17,-2.1098e-18,-8.3912e-20,-0,-0,-0,-1.381e-17,-1.381e-17,-3.6825e-17,0,-5.9706e-14,-5.4011e-16,0,0,-0.46578,-0,-0,0.35458,0.0021699,0.024451,-0,-0,-0,-0,-0,-0,0,-4.6646e-16,-1.5958e-16,-0,0,0,-0.0021881,-0,-0,2.551e-05,4.3398e-05,-0,-0,-0,-0,-0,-0,-102.05,-386.66,0
Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf
0,-7.7863e-16,-4.2825e-15,-0,0,0,0,-0,-0,0.41687,0.71178,-0,-0,-0,-0,-0,-0,-0,0,0,-0.20906,0,-2.1926e-12,-1.495e-13,-0,0,0,0,-0,-0,26.078,5.3384,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-1.3455e-12,-2.6162e-13,-0,0,0,0,-0,-0,11.414,16.015,-0,-0,-0,-0,-0,-0,-9.0296e-19,-3.3267e-19,-2.6138e-19,-4.0395e-19,-1.9307e-20,-0,0,0,-0,-0,18.5,-1.996e-18,-1.3782e-18,-1.5445e-19,-0,0,0,0,-4.2772e-19,-4.2772e-19,-1.4257e-19,-6.3118e-21,-0,-0,-0,-2.2812e-18,-2.2812e-18,-1.8059e-18,0,-7.397e-15,-1.4295e-16,0,0,0,-0,-0,0.57946,0.0035589,-0.60501,-0,-0,-0,-0,-0,-0,0,-1.901e-17,-5.7029e-18,-0,0,0,0,-0,-0,4.1687e-05,7.1178e-05,-0,-0,-0,-0,-0,-0,27.426,31.407,0
